date,intitule,organisme,type,lien
2019-09-21,Neural Networks and Deep Learning,Coursera (DeepLearning.AI),Coursera — Deep Learning Specialization,https://coursera.org/verify/YDGM7NR7VXZQ
2019-09-30,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Coursera (DeepLearning.AI),Coursera — Deep Learning Specialization,https://coursera.org/verify/MWEPTGZYBRC2
2019-10-19,Structuring Machine Learning Projects,Coursera (DeepLearning.AI),Coursera — Deep Learning Specialization,https://coursera.org/verify/E6MC4GSE7U7K
2019-11-12,Convolutional Neural Networks,Coursera (DeepLearning.AI),Coursera — Deep Learning Specialization,https://coursera.org/verify/YKU567ZCDWHD
2020-03-17,Sequence Models,Coursera (DeepLearning.AI),Coursera — Deep Learning Specialization,https://coursera.org/verify/GLXKEB27FDAF
2020-03-17,"Deep Learning Specialization (5 courses — completion)",Coursera (DeepLearning.AI / Andrew Ng),Coursera — Specialization Certificate,https://coursera.org/verify/544VX2JYTUTZ
2020-05-03,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Coursera (DeepLearning.AI),Coursera — TensorFlow Developer Pro Certificate,https://coursera.org/verify/QTUVEK6LV5EL
2020-05-06,Convolutional Neural Networks in TensorFlow,Coursera (DeepLearning.AI),Coursera — TensorFlow Developer Pro Certificate,https://coursera.org/verify/4UD4A9QVBUTS
2020-05-07,Natural Language Processing in TensorFlow,Coursera (DeepLearning.AI),Coursera — TensorFlow Developer Pro Certificate,https://coursera.org/verify/BHTVCDQJCNL9
2020-05-07,"Sequences, Time Series and Prediction",Coursera (DeepLearning.AI),Coursera — TensorFlow Developer Pro Certificate,https://coursera.org/verify/UF3MU582MLJM
2020-05-07,DeepLearning.AI TensorFlow Developer Professional Certificate (4 courses),Coursera (DeepLearning.AI),Coursera — Professional Certificate,https://coursera.org/verify/RJB25F85UWYT
2021-05-02,Natural Language Processing with Classification and Vector Spaces,Coursera (DeepLearning.AI),Coursera — NLP Specialization,https://coursera.org/verify/KGMQR8YHJKYE
2020-03-12,Using Python to Access Web Data,Coursera (University of Michigan),Coursera — Python for Everybody,https://coursera.org/verify/UFQ362D3K66X
2020-03-19,Programming for Everybody (Getting Started with Python),Coursera (University of Michigan),Coursera — Python for Everybody,https://coursera.org/verify/Z5V4YL3CS595
2020-04-12,Fundamentals of Visualization with Tableau,Coursera (UC Davis),Coursera — Tableau Specialization,https://coursera.org/verify/JHR4LS8YV6FD
