debut,fin,responsabilite,perimetre,type
2019-09,,Chef département Informatique et mathématiques appliquées,ESB - département complet,Administrative
2023-01,,Head of Research Team AI4U (Artificial Intelligence 4 University),Esprit Tech,Recherche
2024-01,,Co-Responsible Alternance Program - Business Analytics oriented Generative AI,ESB / Jems Group,Pédagogique
2024-01,,Representative of ESB at Honoris Task Force AI Team (HUU),Honoris United University,Stratégique
2024-09,,Co-Responsible parcours MDSI - Vermeg (mémoires masters),ESB / Vermeg,Pédagogique
2023-01,,AI Instructor - Training of Trainers Departement,ESB - sessions AI/ML/DL/NLP/Transformers/LLM,Pédagogique
2020-01,,Tekouin Administrator,ESB - plateforme e-Learning coding,Administrative
2020-09,,Tutor and Founder of the MAD University Club,ESB - club universitaire,Socio-culturelle
2018-09,,Tutor Founder and Organizer of the B-Movie Film Club,ESB - ciné-club universitaire,Socio-culturelle
2021-09,2024-06,Responsible Master Degree GAMMA (Gestion Actuarielle et Modélisation MAthématique),ESB - Master GAMMA,Pédagogique
2019-09,2024-06,Responsible Bachelor Degree M(AD)² (Math App Analyse Données Aide Décision),ESB - Licence M(AD)²,Pédagogique
2017-09,2018-04,Responsable de l'unité de statistiques d'ESB,ESB,Administrative
2017-09,,Membre jury sessions de recrutement enseignants math/stats,ESB,Administrative
2017-09,,Responsable épreuve Logique du concours d'admission,ESB - banque ~120 questions,Pédagogique
2017-09,,Jury entretiens oraux concours d'admission,ESB,Pédagogique
2018-04,2019-08,Responsable concours d'admission Cameroun,ESB - Cameroun (Calcul Logique CG),Pédagogique
2017-09,,Responsable ateliers Préparation au Tage Mage,ESB - Atelier Raisonnement logique,Pédagogique
2017-09,2018-06,Tuteur club Horizon ESB,ESB - magazine étudiants,Socio-culturelle
2017-09,2018-06,Comité conception parcours SID (sous Syrine Ben Meskina),ESB - filière SID,Pédagogique
2017-09,2018-06,Comité conception master Business Analytics (sous Kaouther Bouzouita),ESB - syllabus math/stats/data science,Pédagogique
2018-09,2019-06,Conception licence M(AD)² + dossier d'habilitation,ESB - nouvelle licence,Pédagogique
2019-09,2020-06,Proposition nouveau master - partenariat université Montpellier,ESB - master MIND + licence Math-Info,Pédagogique
2020-09,,Coordinateur ECUE211 (Algèbre 2),LMAD/SD,Pédagogique
2020-09,,Coordinateur ECUE311 (Algèbre 3),LMAD,Pédagogique
2020-09,,Coordinateur ECUE411 (Probabilités),LMAD,Pédagogique
2020-09,,Coordinateur ECUE421 (Analyse 4),LMAD,Pédagogique
2020-09,,Coordinateur ECUEO412 (Recherche Opérationnelle),MDSI,Pédagogique
